s1 95  96  0.112   hthree=0.122,hone=0.121,hnine=0.105
s1 96  97  0.345   hthree=1.233,hone=0.291,hnine=0.203
s1 97  98  0.401   hthree=0.253,hone=0.343,hnine=0.264
s1 98  99  0.14    hthree=1.119,hone=0.147,hnine=0.102
s1 99  100 0.138   hthree=0.136,hone=0.139,hnine=0.1
s1 100 101 0.143   hthree=0.108,hone=2.924,hnine=0.099
s1 101 102 0.118   hthree=0.108,hone=0.845,hnine=0.092
s1 102 103 0.118   hthree=0.103,hone=0.125,hnine=0.092
s1 103 104 0.868   hthree=0.112,hone=0.128,hnine=0.111
s1 104 105 0.114   hthree=0.113,hone=0.12,hnine=0.101
s1 105 106 0.11    hthree=0.117,hone=0.135,hnine=0.103
s1 106 107 0.12    hthree=0.58,hone=0.144,hnine=0.099
s1 107 108 0.121   hthree=0.112,hone=0.622,hnine=0.102
s1 108 109 2.625   hthree=0.105,hone=0.121,hnine=0.098
s1 109 110 0.113   hthree=0.108,hone=0.127,hnine=0.097
s1 110 111 0.155   hthree=0.523,hone=0.121,hnine=0.096
s1 111 112 0.132   hthree=0.125,hone=0.149,hnine=0.117
s1 112 113 2.556   hthree=0.293,hone=0.291,hnine=0.251
s1 113 114 0.248   hthree=0.236,hone=0.261,hnine=0.218
s1 114 115 0.131   hthree=0.122,hone=0.14,hnine=0.107
s1 115 116 0.12    hthree=0.116,hone=0.42,hnine=0.098
s1 116 117 0.123   hthree=0.118,hone=0.133,hnine=0.096
s1 117 118 1.435   hthree=0.112,hone=0.124,hnine=0.098
s1 118 119 0.117   hthree=0.112,hone=0.132,hnine=0.097
s1 119 120 0.133   hthree=0.114,hone=0.139,hnine=0.101
s1 120 121 0.116   hthree=0.113,hone=0.129,hnine=0.1
s1 121 122 0.12    hthree=0.105,hone=1.318,hnine=0.095
s1 122 123 0.116   hthree=0.108,hone=0.146,hnine=0.093
s1 123 124 0.15    hthree=0.104,hone=0.125,hnine=0.092
s1 124 125 0.251   hthree=0.482,hone=0.142,hnine=0.123
s1 125 126 0.105   hthree=0.101,hone=0.117,hnine=0.088
s1 126 127 0.106   hthree=0.098,hone=0.115,hnine=0.09
s1 127 128 0.119   hthree=0.119,hone=0.132,hnine=0.108
s1 128 129 0.302   hthree=0.294,hone=0.284,hnine=0.279
s1 129 130 0.324   hthree=0.227,hone=1.04,hnine=0.267
s1 130 131 0.132   hthree=0.136,hone=0.143,hnine=0.1
s1 131 132 0.124   hthree=0.109,hone=0.139,hnine=0.099
s1 132 133 0.36    hthree=3.399,hone=0.152,hnine=0.096
s1 133 134 0.105   hthree=0.101,hone=0.124,hnine=0.09
s1 134 135 0.103   hthree=0.097,hone=0.116,hnine=0.087
s1 135 136 0.165   hthree=0.115,hone=0.126,hnine=0.097
s1 136 137 0.112   hthree=0.105,hone=0.129,hnine=0.096
s1 137 138 0.113   hthree=3.704,hone=2.655,hnine=1.112
s1 138 139 0.112   hthree=0.102,hone=0.129,hnine=0.09
s1 139 140 0.285   hthree=0.11,hone=0.134,hnine=0.094
s1 140 141 0.145   hthree=0.102,hone=0.203,hnine=0.091
s1 141 142 0.398   hthree=1.761,hone=0.19,hnine=1.211
s1 142 143 0.121   hthree=0.102,hone=0.967,hnine=0.09
s1 143 144 0.504   hthree=0.203,hone=0.157,hnine=0.114
s1 144 145 0.355   hthree=0.304,hone=0.295,hnine=0.278
s1 145 146 0.265   hthree=3.486,hone=0.274,hnine=0.238
s1 146 147 0.11    hthree=0.107,hone=3.636,hnine=0.101
s1 147 148 0.106   hthree=0.106,hone=0.121,hnine=0.097
s1 148 149 0.201   hthree=3.015,hone=0.119,hnine=0.098
s1 149 150 0.104   hthree=0.1,hone=1.525,hnine=0.089
s1 150 151 0.107   hthree=0.096,hone=0.481,hnine=0.087
s1 151 152 0.105   hthree=0.103,hone=0.122,hnine=0.097
s1 152 153 0.106   hthree=0.105,hone=0.122,hnine=0.093
s1 153 154 3.605   hthree=0.852,hone=0.143,hnine=0.743
s1 154 155 0.103   hthree=0.466,hone=0.229,hnine=0.14
s1 155 156 1.196   hthree=0.103,hone=0.114,hnine=0.093
s1 156 157 0.789   hthree=0.101,hone=0.12,hnine=0.092
s1 157 158 0.104   hthree=0.404,hone=0.116,hnine=0.088
s1 158 159 0.105   hthree=0.098,hone=0.119,hnine=0.091
s1 159 160 0.113   hthree=3.413,hone=0.137,hnine=0.109
s1 160 161 0.313   hthree=0.288,hone=0.278,hnine=0.309
s1 161 162 0.288   hthree=2.834,hone=0.255,hnine=0.273
s1 162 163 0.13    hthree=0.361,hone=0.404,hnine=0.141
s1 163 164 0.58    hthree=0.486,hone=0.132,hnine=0.096
s1 164 165 0.164   hthree=0.109,hone=0.126,hnine=0.096
s1 165 166 1.18    hthree=3.543,hone=1.696,hnine=0.099
s1 166 167 0.107   hthree=0.1,hone=0.123,hnine=0.087
s1 167 168 0.114   hthree=0.107,hone=0.845,hnine=0.098
s1 168 169 0.106   hthree=0.106,hone=0.121,hnine=0.096
s1 169 170 0.107   hthree=0.103,hone=0.12,hnine=0.089
